,Unnamed: 0,areaWithType,transaction,poss_by(year),Month,Floor_no,Total_floors,furnishing,facing,Property_type,Property_type2,Property_category,Property_location,Area,price_per_sqft(₹),Price(₹)
369,369,Carpet Area,New Property,2024,Instant,0,2,Unfurnished,North,BHK,3,House,Dindoli Surat,1600,3286,5257600
370,370,Carpet Area,New Property,2024,Instant,2,13,Unfurnished,East,BHK,2,Apartment,Shyam enclave,688,3994,2747872
371,371,Carpet Area,New Property,2024,Instant,3,11,Furnished,East,BHK,2,Apartment,Althan Surat,700,2976,2083200
372,372,Carpet Area,Resale,2024,Instant,4,5,Unfurnished,East,BHK,1,Apartment,Orchid Blossom,422,4462,1882964
373,373,Super Area,Resale,2024,Instant,6,12,Unfurnished,South,BHK,3,Apartment,Green City,1505,3056,4599280
374,374,Super Area,Resale,2024,Instant,8,12,Furnished,East,BHK,2,Apartment,Sangini Swaraj,1251,2839,3551589
375,375,Carpet Area,New Property,2024,Instant,0,2,Unfurnished,East,BHK,3,House,Narthan Surat,1500,2967,4450500
376,376,Super Area,Resale,2024,Instant,6,13,Furnished,East,BHK,1,Apartment,Jahangirabad Surat,751,3196,2400196
377,377,Super Area,Resale,2024,Instant,3,5,Semi-Furnished,South,BHK,2,Apartment,Green City,1110,3784,4200240
378,378,Carpet Area,Resale,2024,Instant,7,12,Unfurnished,North,BHK,2,Apartment,Green Paradise,600,3462,2077200
379,379,Carpet Area,New Property,2024,Instant,0,2,Unfurnished,East,BHK,2,House,Dindoli Surat,815,2458,2003270
380,380,Super Area,New Property,2024,Instant,5,10,Unfurnished,North,BHK,2,Apartment,Dindoli Surat,1143,2582,2951226
381,381,Super Area,Resale,2024,Instant,4,5,Unfurnished,East,BHK,1,Apartment,Orchid Blossom,650,4462,2900300
382,382,Super Area,New Property,2025,January,6,14,Unfurnished,East,BHK,3,Apartment,Santvan Lexon,1651,4101,6770751
383,383,Carpet Area,New Property,2026,February,5,13,Unfurnished,East,BHK,3,Apartment,Bamroli Surat,929,3681,3419649
384,384,Carpet Area,New Property,2026,March,8,14,Unfurnished,East,BHK,3,Apartment,Bamroli Surat,832,3749,3119168
385,385,Super Area,New Property,2024,Instant,6,14,Unfurnished,East,BHK,3,Apartment,Palanpur Surat,1651,4240,7000240
386,386,Super Area,New Property,2025,April,5,13,Unfurnished,South,BHK,2,Apartment,Pal Surat,1351,4251,5743101
387,387,Carpet Area,New Property,2025,December,3,14,Unfurnished,East,BHK,3,Apartment,Palanpur Surat,925,3400,3145000
388,388,Carpet Area,New Property,2024,June,7,14,Unfurnished,East,BHK,2,Apartment,Palanpur Surat,721,4249,3063529
389,389,Super Area,New Property,2025,June,5,13,Unfurnished,East,BHK,3,Apartment,Santvan Lexon,1651,4100,6769100
390,390,Carpet Area,Resale,2024,Instant,7,10,Unfurnished,East,BHK,2,Apartment,NavYug College Surat,1650,3125,5156250
391,391,Super Area,Resale,2024,Instant,1,13,Furnished,East,BHK,2,Apartment,Adajan Surat,847,5903,4999841
392,392,Super Area,New Property,2024,December,5,13,Unfurnished,East,BHK,3,Apartment,Santvan Lexon,1861,4250,7909250
393,393,Carpet Area,Resale,2024,December,9,14,Unfurnished,South,BHK,3,Apartment,Santvan Lexon,1000,3951,3951000
